n_layer1;n_kernel1;n_layer2;n_kernel2;n_pool1;dropout_1;dropout_2;dense1;dense2;act;optim;n_batch;best_val_acc
26;(4, 4);50;(4, 4);(3, 3);0.1035637230274455;0.4690059752947982;130;80;relu;rmsprop;16;0.7426999807357788
32;(4, 4);54;(3, 3);(2, 2);0.18680825228433026;0.43950151057706244;180;60;leakyrelu;rmsprop;24;0.6536999940872192
26;(5, 5);64;(4, 4);(2, 2);0.2733915323558167;0.4943718458882343;200;100;leakyrelu;sgd;8;0.6585000157356262
38;(5, 5);68;(4, 4);(3, 3);0.13205002694957427;0.3234595104920885;160;60;leakyrelu;sgd;32;0.6166999936103821
26;(4, 4);62;(3, 3);(2, 2);0.2709457558936299;0.47930243902396247;130;80;relu;sgd;32;0.7067000269889832
26;(4, 4);58;(3, 3);(3, 3);0.14104785118469854;0.3853437009310858;100;80;relu;rmsprop;32;0.7372000217437744
8;(5, 5);50;(3, 3);(3, 3);0.29877970062989556;0.34567626225804865;180;100;relu;sgd;32;0.6277999877929688
14;(5, 5);62;(3, 3);(3, 3);0.15130718530863016;0.3622328628499374;200;60;leakyrelu;rmsprop;8;0.6791999936103821
26;(5, 5);58;(4, 4);(3, 3);0.26584869123610233;0.432409631931746;100;100;leakyrelu;rmsprop;16;0.6840999722480774
26;(3, 3);62;(4, 4);(2, 2);0.2531586727032703;0.4489258101345083;100;80;leakyrelu;sgd;24;0.6840000152587891
26;(5, 5);62;(3, 3);(3, 3);0.13778165170512194;0.3002010562981406;130;80;relu;sgd;8;0.6769000291824341
26;(4, 4);50;(4, 4);(2, 2);0.21576605852759206;0.34934689137000935;160;100;leakyrelu;sgd;24;0.694599986076355
20;(5, 5);62;(4, 4);(3, 3);0.263417068924193;0.3918352525566839;160;80;relu;sgd;8;0.659500002861023
38;(5, 5);64;(4, 4);(3, 3);0.12093250623203129;0.30120607280790984;130;60;leakyrelu;rmsprop;24;0.6851999759674072
38;(4, 4);50;(4, 4);(3, 3);0.15856009690681078;0.3768103159896856;180;100;leakyrelu;sgd;16;0.682699978351593
38;(4, 4);50;(3, 3);(3, 3);0.1297774413745095;0.32865166864864864;100;100;relu;sgd;8;0.7405999898910522
14;(3, 3);68;(3, 3);(3, 3);0.25189932671491755;0.39614697904790325;200;60;relu;sgd;32;0.732200026512146
38;(4, 4);50;(3, 3);(2, 2);0.18342374928041114;0.40768472969833114;160;60;relu;sgd;8;0.7239999771118164
14;(4, 4);50;(3, 3);(3, 3);0.2776398148893123;0.37751565580966717;200;100;leakyrelu;rmsprop;16;0.6855000257492065
32;(5, 5);50;(4, 4);(2, 2);0.29172335657216875;0.4645310914686871;180;80;leakyrelu;sgd;16;0.5636000037193298
